#FFC0CB,粉红
#DC143C,深红/猩红
#FFF0F5,淡紫红
#DB7093,弱紫罗兰红
#FF69B4,热情的粉红
#FF1493,深粉红
#C71585,中紫罗兰红
#DA70D6,暗紫色/兰花紫
#D8BFD8,蓟色
#DDA0DD,洋李色/李子紫
#EE82EE,紫罗兰
#FF00FF,洋红/玫瑰红
#FF00FF,紫红/灯笼海棠
#8B008B,深洋红
#800080,紫色
#BA55D3,中兰花紫
#9400D3,暗紫罗兰
#9932CC,暗兰花紫
#4B0082,靛青/紫兰色
#8A2BE2,蓝紫罗兰
#9370DB,中紫色
#7B68EE,中暗蓝色/中板岩蓝
#6A5ACD,石蓝色/板岩蓝
#483D8B,暗灰蓝色/暗板岩蓝
#E6E6FA,淡紫色/熏衣草淡紫
#F8F8FF,幽灵白
#0000FF,纯蓝
#0000CD,中蓝色
#191970,午夜蓝
#00008B,暗蓝色
#000080,海军蓝
#4169E1,皇家蓝/宝蓝
#6495ED,矢车菊蓝
#B0C4DE,亮钢蓝
#778899,亮蓝灰/亮石板灰
#708090,灰石色/石板灰
#1E90FF,闪兰色/道奇蓝
#F0F8FF,爱丽丝蓝
#4682B4,钢蓝/铁青
#87CEFA,亮天蓝色
#87CEEB,天蓝色
#00BFFF,深天蓝
#ADD8E6,亮蓝
#B0E0E6,粉蓝色/火药青
#5F9EA0,军兰色/军服蓝
#F0FFFF,蔚蓝色
#E0FFFF,淡青色
#AFEEEE,弱绿宝石
#00FFFF,青色
#00FFFF,浅绿色/水色
#00CED1,暗绿宝石
#2F4F4F,暗瓦灰色/暗石板灰
#008B8B,暗青色
#008080,水鸭色
#48D1CC,中绿宝石
#20B2AA,浅海洋绿
#40E0D0,绿宝石
#7FFFD4,宝石碧绿
#66CDAA,中宝石碧绿
#00FA9A,中春绿色
#F5FFFA,薄荷奶油
#00FF7F,春绿色
#3CB371,中海洋绿
#2E8B57,海洋绿
#F0FFF0,蜜色/蜜瓜色
#90EE90,淡绿色
#98FB98,弱绿色
#8FBC8F,暗海洋绿
#32CD32,闪光深绿
#00FF00,闪光绿
#228B22,森林绿
#008000,纯绿
#006400,暗绿色
#7FFF00,黄绿色/查特酒绿
#7CFC00,草绿色/草坪绿
#ADFF2F,绿黄色
#556B2F,暗橄榄绿
#9ACD32,黄绿色
#6B8E23,橄榄褐色
#F5F5DC,米色/灰棕色
#FAFAD2,亮菊黄
#FFFFF0,象牙色
#FFFFE0,浅黄色
#FFFF00,纯黄
#808000,橄榄
#BDB76B,暗黄褐色/深卡叽布
#FFFACD,柠檬绸
#EEE8AA,灰菊黄/苍麒麟色
#F0E68C,黄褐色/卡叽布
#FFD700,金色
#FFF8DC,玉米丝色
#DAA520,金菊黄
#B8860B,暗金菊黄
#FFFAF0,花的白色
#FDF5E6,老花色/旧蕾丝
#F5DEB3,浅黄色/小麦色
#FFE4B5,鹿皮色/鹿皮靴
#FFA500,橙色
#FFEFD5,番木色/番木瓜
#FFEBCD,白杏色
#FFDEAD,纳瓦白/土著白
#FAEBD7,古董白
#D2B48C,茶色
#DEB887,硬木色
#FFE4C4,陶坯黄
#FF8C00,深橙色
#FAF0E6,亚麻布
#CD853F,秘鲁色
#FFDAB9,桃肉色
#F4A460,沙棕色
#D2691E,巧克力色
#8B4513,重褐色/马鞍棕色
#FFF5EE,海贝壳
#A0522D,黄土赭色
#FFA07A,浅鲑鱼肉色
#FF7F50,珊瑚
#FF4500,橙红色
#E9967A,深鲜肉/鲑鱼色
#FF6347,番茄红
#FFE4E1,浅玫瑰色/薄雾玫瑰
#FA8072,鲜肉/鲑鱼色
#FFFAFA,雪白色
#F08080,淡珊瑚色
#BC8F8F,玫瑰棕色
#CD5C5C,印度红
#FF0000,纯红
#A52A2A,棕色
#B22222,火砖色/耐火砖
#8B0000,深红色
#800000,栗色
#FFFFFF,纯白
#F5F5F5,白烟
#DCDCDC,淡灰色
#D3D3D3,浅灰色
#C0C0C0,银灰色
#A9A9A9,深灰色
#808080,灰色
#696969,暗淡灰
#000000,纯黑
